순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜,평균 생존시간
1,TWIS_xmpl,Twisted Minds,25,4709,22,14,6,13,1.9,362,20:18
2,17_Lilghost,17 Gaming,25,3128,18,15,4,13,1.9,241,21:59
3,FLC_TGLTN,Team Falcons,23,3451,19,6,6,13,1.8,265,19:41
4,17_tiantianhaovo,17 Gaming,22,3651,17,10,2,13,1.7,281,22:18
5,AL_Himass,Anyone's Legend,20,3814,21,12,3,13,1.5,293,17:57
6,MiTH_KISS,Made in Thailand,20,3356,18,7,6,13,1.5,258,18:48
7,T1_Heather,T1,19,3928,19,14,7,13,1.5,302,18:34
8,VIT_QWZYYY,Team Vitality,18,2923,15,5,5,13,1.4,225,18:23
9,GTE_TanVuu,GAM X TE,17,4211,27,11,4,13,1.3,324,21:17
10,GTE_DuCkHjeUz,GAM X TE,17,3400,11,14,3,13,1.3,262,22:02
11,17_xwudd,17 Gaming,17,2837,11,14,2,13,1.3,218,21:57
12,AL_Sololzy,Anyone's Legend,17,2582,14,10,0,13,1.3,199,18:31
13,GTE_Hoangf,GAM X TE,17,2126,15,4,7,13,1.3,164,19:50
14,GTE_Clories,GAM X TE,16,3121,18,10,5,13,1.2,240,21:25
15,SE_Setsunaa,Shadow Esports,16,2533,14,5,2,13,1.2,195,17:37
16,JDG_nanss,JD Gaming,16,1970,9,2,6,13,1.2,152,17:56
17,T1_Rain1ng,T1,16,1956,14,4,2,13,1.2,150,18:08
18,VIT_Lev4nte,Team Vitality,15,3552,15,13,3,13,1.2,273,19:43
19,DNS_DIEL,DN SOOPers,15,3404,16,8,3,13,1.2,262,20:05
20,SE_Jekzy,Shadow Esports,15,2813,17,6,2,13,1.2,216,17:01
21,DNS_Heaven,DN SOOPers,15,2436,15,6,4,13,1.2,187,19:37
22,GK_Parkpro,Geekay Esports,15,2338,12,3,6,13,1.2,180,20:57
23,VP_Beami,Virtus.pro,14,3606,21,14,5,13,1.1,277,17:53
24,MiTH_Scappy,Made in Thailand,14,3455,13,8,6,13,1.1,266,20:27
25,17_Wenbo,17 Gaming,14,2270,14,10,2,13,1.1,175,20:57
26,DNS_Gyumin,DN SOOPers,13,2581,13,4,2,13,1,199,17:58
27,TWIS_BatulinS,Twisted Minds,13,2469,19,10,2,13,1,190,19:56
28,SE_Hanzyy,Shadow Esports,13,2458,11,4,1,13,1,189,17:31
29,T1_EEND,T1,12,3051,12,6,2,13,0.9,235,16:16
30,VP_NIXZYEE,Virtus.pro,12,2892,17,6,1,13,0.9,222,17:38
31,FLC_Kickstart,Team Falcons,12,2506,16,11,1,13,0.9,193,19:46
32,VIT_hallomybad,Team Vitality,12,1705,8,6,2,13,0.9,131,21:30
33,TWIS_Lu,Twisted Minds,11,2949,10,11,2,13,0.8,227,19:26
34,FS_Flash,Full Sense,11,2444,13,12,3,13,0.8,188,20:01
35,AL_Destroyy,Anyone's Legend,11,1924,12,6,3,13,0.8,148,18:22
36,TWIS_TheTab,Twisted Minds,11,1439,6,4,3,13,0.8,111,18:59
37,MiTH_Baren,Made in Thailand,10,2812,12,3,1,13,0.8,216,18:36
38,GK_Seongjang,Geekay Esports,10,2756,12,9,1,13,0.8,212,20:09
39,DGE_imSancho,DIGA Esports,10,2349,11,2,2,13,0.8,181,18:16
40,GK_EJ01,Geekay Esports,10,2074,16,13,2,13,0.8,160,19:21
41,GK_AKaN,Geekay Esports,10,2022,3,4,1,13,0.8,156,19:24
42,T1_Type,T1,10,1972,9,2,5,13,0.8,152,18:20
43,VP_curexi,Virtus.pro,10,1627,12,7,3,13,0.8,125,18:20
44,AL_Delwyn,Anyone's Legend,9,2714,13,8,4,13,0.7,209,18:20
45,JDG_Cold119,JD Gaming,9,2401,16,6,4,13,0.7,185,16:04
46,FLC_Shrimzy,Team Falcons,9,2375,11,9,2,13,0.7,183,18:33
47,VIT_Gedrox,Team Vitality,9,1942,10,10,1,13,0.7,149,18:10
48,DGE_KoyaN,DIGA Esports,9,1940,5,0,1,13,0.7,149,17:32
49,SE_Kamalz,Shadow Esports,9,1777,9,7,2,13,0.7,137,17:45
50,DNS_Rex,DN SOOPers,9,1766,10,8,0,13,0.7,136,18:38
51,FS_Thanad0l,Full Sense,8,2429,12,3,0,13,0.6,187,21:08
52,JDG_SuZe,JD Gaming,8,1826,7,10,3,13,0.6,140,17:06
53,JDG_Dec12th,JD Gaming,8,1734,6,2,1,13,0.6,133,17:34
54,DGE_Diga,DIGA Esports,7,2711,9,4,3,13,0.5,209,17:52
55,FLC_Gustav,Team Falcons,7,2572,12,6,0,13,0.5,198,18:51
56,FS_TiGGER,Full Sense,7,1843,8,6,0,13,0.5,142,19:21
57,R8_TedeeyyEXSA,R8 Esports,7,1640,7,3,1,13,0.5,126,16:59
58,MiTH_Jacob,Made in Thailand,6,1994,8,5,0,13,0.5,153,17:42
59,R8_empt,R8 Esports,6,1478,9,1,1,13,0.5,114,16:43
60,DGE_Kursant,DIGA Esports,6,1320,4,6,1,13,0.5,102,18:15
61,FS_Belmoth,Full Sense,5,2456,8,7,1,13,0.4,189,21:50
62,VP_Lukarux,Virtus.pro,4,1570,7,13,1,13,0.3,121,18:20
63,R8_1MBOT,R8 Esports,1,776,1,1,0,13,0.1,60,17:01
64,R8_AJRE,R8 Esports,1,643,3,4,0,13,0.1,49,17:29
