순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬,조정 비고
1,17 Gaming,14,39,81,120,2,12478,5.8,
2,GAM X TE,14,44,69,113,1,13285,4.9,
3,Team Vitality,14,44,61,105,3,10795,4.4,
4,Geekay Esports,14,39,61,101,1,11091,4.4,합계 +1점 조정(보상)
5,Anyone's Legend,14,33,63,96,1,12297,4.5,
6,Twisted Minds,14,30,66,96,1,12419,4.7,
7,Made in Thailand,14,40,53,93,0,12138,3.8,
8,Team Falcons,14,27,53,82,1,11885,3.8,합계 +2점 조정(보상)
9,DN SOOPers,14,27,52,79,2,10456,3.7,
10,Shadow Esports,14,22,56,78,1,10516,4,
11,T1,14,14,57,71,0,10971,4.1,
12,JD Gaming,14,17,44,61,0,8272,3.1,
13,Full Sense,14,25,35,60,0,9959,2.5,
14,DIGA Esports,14,24,33,57,1,9050,2.4,
15,Virtus.pro,14,12,40,52,0,9720,2.9,
16,R8 Esports,14,11,18,29,0,4943,1.3,
