스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,1,Made in Thailand,4,713,10,14
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,4,DN SOOPers,9,1165,4,13
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,6,T1,11,1354,2,13
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,2,4AM,4,701,6,10
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,3,PeRo,3,352,5,8
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,8,TE,7,540,1,8
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,5,NAVI,3,281,3,6
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,7,17 Gaming,3,915,1,4
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,15,Team Vitality,4,366,0,4
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,9,Twisted Minds,3,803,0,3
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,10,Team Falcons,3,528,0,3
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,16,CR,3,337,0,3
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,13,T5,2,687,0,2
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,11,Anyone's Legend,1,259,0,1
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,12,Full Sense,1,395,0,1
Winners Stage,1,26. 3. 19. 오후 7:00,ERANGEL,14,JD Gaming,1,100,0,1
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,1,4AM,12,2499,10,22
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,2,PeRo,12,1834,6,18
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,4,Twisted Minds,9,1712,4,13
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,3,17 Gaming,5,1013,5,10
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,12,JD Gaming,8,665,0,8
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,6,DN SOOPers,4,1066,2,6
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,11,T1,5,645,0,5
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,5,Team Falcons,1,757,3,4
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,7,NAVI,1,938,1,2
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,9,TE,2,440,0,2
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,10,Team Vitality,2,282,0,2
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,14,Made in Thailand,2,200,0,2
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,8,T5,0,629,1,1
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,15,Full Sense,1,463,0,1
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,13,Anyone's Legend,0,188,0,0
Winners Stage,2,26. 3. 19. 오후 7:34,MIRAMAR,16,CR,0,177,0,0
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,1,PeRo,16,1517,10,26
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,5,DN SOOPers,12,956,3,15
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,3,Made in Thailand,7,1358,5,12
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,2,Team Vitality,2,434,6,8
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,4,T5,2,410,4,6
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,6,NAVI,4,517,2,6
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,8,CR,4,304,1,5
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,12,Anyone's Legend,3,612,0,3
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,14,TE,3,654,0,3
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,16,17 Gaming,3,502,0,3
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,11,JD Gaming,2,437,0,2
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,7,T1,0,423,1,1
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,9,Full Sense,1,761,0,1
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,10,4AM,1,521,0,1
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,15,Team Falcons,1,214,0,1
Winners Stage,3,26. 3. 19. 오후 8:17,TAEGO,13,Twisted Minds,0,58,0,0
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,1,JD Gaming,9,1841,10,19
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,2,4AM,8,1145,6,14
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,6,Full Sense,8,1121,2,10
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,7,T1,9,1080,1,10
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,3,T5,4,1214,5,9
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,5,PeRo,4,1075,3,7
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,4,CR,1,763,4,5
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,13,DN SOOPers,4,520,0,4
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,10,TE,3,440,0,3
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,11,Anyone's Legend,3,465,0,3
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,9,Team Falcons,2,900,0,2
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,14,Made in Thailand,2,243,0,2
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,8,NAVI,0,551,1,1
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,12,17 Gaming,1,388,0,1
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,15,Team Vitality,1,341,0,1
Winners Stage,4,26. 3. 19. 오후 8:57,RONDO,16,Twisted Minds,0,316,0,0
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,1,NAVI,8,1285,10,18
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,3,Full Sense,10,815,5,15
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,4,T1,11,1188,4,15
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,2,Anyone's Legend,0,636,6,6
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,5,JD Gaming,3,852,3,6
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,9,T5,6,443,0,6
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,13,DN SOOPers,6,690,0,6
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,6,TE,3,672,2,5
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,7,17 Gaming,3,352,1,4
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,8,Twisted Minds,3,1298,1,4
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,10,CR,4,624,0,4
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,15,PeRo,2,471,0,2
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,16,4AM,2,376,0,2
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,12,Team Falcons,1,884,0,1
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,11,Team Vitality,0,171,0,0
Winners Stage,5,26. 3. 19. 오후 9:40,ERANGEL,14,Made in Thailand,0,127,0,0
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,1,S2G,5,1597,10,15
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,2,CTG,5,691,6,11
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,3,Anyone's Legend,6,445,5,11
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,4,EA,5,818,4,9
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,9,T5,8,916,0,8
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,7,Virtus.pro,5,1229,1,6
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,10,17 Gaming,6,825,0,6
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,5,FCE,2,701,3,5
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,14,Team Vitality,4,351,0,4
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,6,Team Falcons,1,318,2,3
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,15,FUR,3,182,0,3
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,8,TL,1,95,1,2
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,12,GEN,2,684,0,2
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,11,Twisted Minds,1,208,0,1
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,13,CR,0,100,0,0
Survival Stage,6,26. 3. 20. 오후 7:00,MIRAMAR,16,TE,0,55,0,0
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,1,Twisted Minds,13,1834,10,23
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,2,Team Falcons,11,2183,6,17
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,5,TE,8,1045,3,11
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,3,17 Gaming,3,612,5,8
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,4,GEN,3,1306,4,7
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,10,TL,6,840,0,6
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,6,Team Vitality,2,645,2,4
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,14,Anyone's Legend,4,549,0,4
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,13,T5,3,561,0,3
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,7,Virtus.pro,1,686,1,2
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,12,S2G,2,323,0,2
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,16,EA,2,355,0,2
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,8,CTG,0,162,1,1
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,15,FUR,1,271,0,1
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,9,CR,0,378,0,0
Survival Stage,7,26. 3. 20. 오후 7:35,ERANGEL,11,FCE,0,162,0,0
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,1,Anyone's Legend,10,1340,10,20
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,2,GEN,7,1636,6,13
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,6,Team Falcons,9,2024,2,11
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,5,FCE,7,1001,3,10
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,3,EA,4,831,5,9
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,4,FUR,1,602,4,5
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,7,Virtus.pro,4,396,1,5
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,8,CR,3,847,1,4
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,12,T5,3,347,0,3
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,16,Team Vitality,3,406,0,3
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,11,S2G,2,273,0,2
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,15,TL,2,630,0,2
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,10,TE,1,302,0,1
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,13,Twisted Minds,1,170,0,1
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,14,17 Gaming,1,107,0,1
Survival Stage,8,26. 3. 20. 오후 8:21,RONDO,9,CTG,0,162,0,0
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,1,Team Falcons,10,1734,10,20
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,3,FUR,7,961,5,12
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,2,FCE,4,803,6,10
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,4,S2G,5,2043,4,9
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,5,Team Vitality,5,941,3,8
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,9,EA,8,1044,0,8
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,6,Anyone's Legend,4,973,2,6
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,7,Virtus.pro,4,1127,1,5
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,10,T5,3,562,0,3
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,12,Twisted Minds,3,457,0,3
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,15,GEN,3,435,0,3
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,13,CR,2,255,0,2
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,14,TL,2,1193,0,2
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,8,TE,0,593,1,1
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,11,17 Gaming,1,753,0,1
Survival Stage,9,26. 3. 20. 오후 9:01,TAEGO,16,CTG,1,300,0,1
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,1,TE,19,2660,10,29
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,5,17 Gaming,9,1592,3,12
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,2,FUR,5,984,6,11
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,3,CR,5,1256,5,10
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,4,Team Falcons,5,1421,4,9
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,7,S2G,5,797,1,6
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,9,TL,5,1290,0,5
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,14,FCE,5,433,0,5
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,8,Twisted Minds,3,552,1,4
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,6,Team Vitality,1,773,2,3
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,10,GEN,1,568,0,1
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,15,CTG,1,364,0,1
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,11,Anyone's Legend,0,675,0,0
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,12,T5,0,124,0,0
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,13,EA,0,195,0,0
Survival Stage,10,26. 3. 20. 오후 9:45,MIRAMAR,16,Virtus.pro,0,406,0,0
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,1,DN SOOPers,9,1405,10,19
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,2,JD Gaming,5,943,6,11
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,4,Team Falcons,6,1027,4,10
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,3,Twisted Minds,3,723,5,8
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,6,4AM,4,689,2,6
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,7,TE,5,1028,1,6
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,11,T1,5,1020,0,5
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,5,PeRo,1,68,3,4
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,9,Full Sense,4,883,0,4
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,12,NAVI,4,1043,0,4
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,10,Made in Thailand,3,185,0,3
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,8,Anyone's Legend,1,255,1,2
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,13,FUR,2,519,0,2
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,16,FCE,2,270,0,2
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,15,S2G,1,100,0,1
Final Stage,11,26. 3. 21. 오후 7:00,ERANGEL,14,EA,0,31,0,0
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,1,Anyone's Legend,7,1433,10,17
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,2,4AM,11,1412,6,17
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,6,TE,8,1314,2,10
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,4,JD Gaming,4,1487,4,8
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,3,Twisted Minds,2,324,5,7
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,15,FCE,5,770,0,5
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,5,EA,1,261,3,4
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,11,Made in Thailand,4,683,0,4
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,10,T1,3,729,0,3
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,14,FUR,3,448,0,3
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,7,NAVI,1,386,1,2
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,8,DN SOOPers,1,435,1,2
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,9,Team Falcons,1,348,0,1
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,12,Full Sense,1,449,0,1
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,16,PeRo,1,365,0,1
Final Stage,12,26. 3. 21. 오후 7:40,MIRAMAR,13,S2G,0,207,0,0
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,1,NAVI,5,1508,10,15
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,5,FCE,10,1221,3,13
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,3,Anyone's Legend,4,926,5,9
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,4,4AM,5,1093,4,9
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,6,Made in Thailand,7,1030,2,9
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,2,S2G,2,957,6,8
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,8,T1,6,798,1,7
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,10,EA,5,1310,0,5
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,9,DN SOOPers,4,673,0,4
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,13,Full Sense,4,780,0,4
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,7,PeRo,2,274,1,3
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,12,Team Falcons,2,1062,0,2
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,14,TE,1,197,0,1
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,11,FUR,0,24,0,0
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,15,JD Gaming,0,191,0,0
Final Stage,13,26. 3. 21. 오후 8:23,TAEGO,16,Twisted Minds,0,80,0,0
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,1,PeRo,5,750,10,15
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,3,T1,9,1276,5,14
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,2,S2G,7,1588,6,13
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,4,FCE,6,1695,4,10
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,5,TE,6,1221,3,9
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,8,Team Falcons,8,1152,1,9
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,10,JD Gaming,5,1056,0,5
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,7,Made in Thailand,2,783,1,3
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,11,4AM,3,382,0,3
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,13,Anyone's Legend,3,671,0,3
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,6,FUR,0,620,2,2
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,9,DN SOOPers,2,280,0,2
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,16,Full Sense,2,167,0,2
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,14,NAVI,1,458,0,1
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,15,Twisted Minds,1,549,0,1
Final Stage,14,26. 3. 21. 오후 9:03,RONDO,12,EA,0,464,0,0
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,2,Made in Thailand,11,2221,6,17
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,1,TE,5,1384,10,15
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,3,4AM,10,1045,5,15
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,4,T1,6,1032,4,10
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,5,FUR,4,317,3,7
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,9,Anyone's Legend,7,1286,0,7
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,6,Twisted Minds,4,601,2,6
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,7,PeRo,5,622,1,6
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,8,JD Gaming,3,820,1,4
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,10,NAVI,4,570,0,4
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,13,S2G,2,346,0,2
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,16,FCE,2,248,0,2
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,14,Team Falcons,1,385,0,1
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,11,EA,0,186,0,0
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,12,DN SOOPers,0,253,0,0
Final Stage,15,26. 3. 21. 오후 9:46,ERANGEL,15,Full Sense,0,308,0,0
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,1,PeRo,13,2250,10,23
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,5,4AM,9,1116,3,12
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,6,T1,10,1359,2,12
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,2,EA,2,855,6,8
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,4,DN SOOPers,4,817,4,8
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,3,Twisted Minds,2,1089,5,7
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,15,TE,7,862,0,7
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,7,S2G,3,631,1,4
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,16,NAVI,3,516,0,3
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,10,Team Falcons,2,537,0,2
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,12,JD Gaming,2,436,0,2
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,14,FCE,2,297,0,2
Final Stage,16,26. 3. 22. 오후 7:00,MIRAMAR,8,Made in Thailand,0,924,1,1
