순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬,조정 비고
1,PERO,15,60,86,146,3,12590,5.7,
2,4AM,15,54,84,138,2,13386,5.6,
3,Anyone's Legend,20,49,78,127,2,16240,3.9,
4,Made in Thailand,15,36,82,118,2,15460,5.5,
5,TE,20,34,81,115,2,15468,4,
6,Team Falcons,20,33,80,113,1,18628,4,
7,T1,15,23,86,109,0,13222,5.7,
8,Twisted Minds,20,41,58,99,1,13363,2.9,
9,NAVI,15,42,53,95,3,12818,3.5,
10,FCE,15,31,62,93,1,10469,4.1,
11,DN SOOPers,15,27,65,92,1,11273,4.3,
12,S2G,15,44,46,90,1,12428,3.1,
13,Full Sense,15,17,57,74,0,10797,3.8,
14,JD Gaming,15,25,43,68,1,10312,2.9,
15,FUR,15,28,39,67,0,8922,2.6,
16,EA,15,25,37,62,0,9652,2.5,
17,17 Gaming,10,15,35,50,0,7059,3.5,
18,T5,10,10,31,41,0,5893,3.1,
19,Team Vitality,10,13,24,37,0,4710,2.4,
20,CR,10,11,22,33,0,5041,2.2,
21,GEN,5,10,16,26,0,4629,3.2,
22,Virtus.pro,5,4,14,18,0,3844,2.8,
23,TL,5,1,16,17,0,4048,3.2,
24,CTG,5,7,7,14,0,1679,1.4,

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,Petrichor Road
2,Four Angry Men
3,Made in Thailand
4,Anyone's Legend

MVP,SpaceMan1010
