순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
1,NAVI_Hakatory,NAVI,46,8161,38,18,12,20,2.3,408
2,FLC_TGLTN,Team Falcons,30,5304,18,11,12,15,2,354
3,PeRo_MMing,PERO,28,4324,18,10,4,20,1.4,216
4,17_WenBo,17 Gaming,27,4816,27,12,8,15,1.8,321
5,AL_Himass,Anyone's Legend,26,4427,27,12,5,15,1.7,295
6,17_tiantianhaovo,17 Gaming,24,4440,29,13,2,15,1.6,296
7,NAVI_spyrro,NAVI,23,4332,25,10,3,20,1.1,217
8,VIT_Lev4nte,Team Vitality,22,4343,21,6,2,15,1.5,290
9,FUR_bielmtcalmo,FUR,21,5066,18,18,5,20,1.1,253
10,FUR_Dr4FTk1NG,FUR,21,4696,27,19,4,20,1.1,235
11,17_xwudd,17 Gaming,21,4474,25,13,6,15,1.4,298
12,MiTH_Scappy,Made in Thailand,21,3675,19,6,4,20,1.1,184
13,MiTH_Jacob,Made in Thailand,21,3608,19,10,7,20,1.1,180
14,PeRo_i26v6,PERO,21,3474,14,11,6,20,1.1,174
15,FUR_zkraken,FUR,20,3329,18,12,3,20,1,166
16,PeRo_04NB,PERO,20,3312,18,9,5,20,1,166
17,AL_Delwyn,Anyone's Legend,20,3084,23,8,3,15,1.3,206
18,TWIS_Lu,Twisted Minds,19,3713,16,11,5,15,1.3,248
19,DNS_DIEL,DN SOOPers,19,3228,17,9,5,15,1.3,215
20,PeRo_Cui711,PERO,19,3025,18,8,6,20,0.9,151
21,FCE_Tanbinh,FCE,19,2941,16,5,4,20,0.9,147
22,FS_TiGGER,Full Sense,19,2890,17,7,4,15,1.3,193
23,4AM_Shen,4AM,18,3719,15,12,6,15,1.2,248
24,TWIS_Molodoct,Twisted Minds,18,3711,19,13,10,15,1.2,247
25,4AM_WINDah,4AM,18,3427,22,7,7,15,1.2,228
26,FLC_Kickstart,Team Falcons,18,3103,15,7,2,15,1.2,207
27,DNS_Heaven,DN SOOPers,18,2879,14,10,8,15,1.2,192
28,NAVI_Feyerist,NAVI,17,4215,15,15,6,20,0.8,211
29,NAVI_boost1k-,NAVI,17,3702,15,12,1,20,0.8,185
30,17_Lilghost,17 Gaming,17,3575,15,14,2,15,1.1,238
31,TWIS_BatulinS,Twisted Minds,17,3556,16,11,4,15,1.1,237
32,EA_Nourinz,EA,17,2852,16,8,4,15,1.1,190
33,FCE_YUDIRT,FCE,17,2772,13,4,6,15,1.1,185
34,CR_Pio,CR,16,4082,17,11,5,15,1.1,272
35,AL_Sololzy,Anyone's Legend,16,3242,14,19,2,15,1.1,216
36,TWIS_xmpl,Twisted Minds,15,5118,23,20,1,15,1,341
37,VIT_hallomybad,Team Vitality,15,3436,13,10,2,15,1,229
38,4AM_SpaceMan1010,4AM,15,3367,14,9,2,15,1,224
39,CR_Inonix,CR,15,2916,15,6,5,15,1,194
40,FS_Belmoth,Full Sense,15,2684,18,9,1,15,1,179
41,FCE_Zest,FCE,15,2444,8,9,2,20,0.8,122
42,MiTH_KISS,Made in Thailand,14,3940,19,9,2,20,0.7,197
43,MiTH_Baren,Made in Thailand,14,3299,13,8,4,20,0.7,165
44,EA_OHPONDZ,EA,14,2998,14,10,6,15,0.9,200
45,FUR_possa,FUR,14,2549,14,9,7,20,0.7,127
46,FS_Flash,Full Sense,14,1808,10,9,3,15,0.9,121
47,DNS_Gyumin,DN SOOPers,13,3154,10,15,1,15,0.9,210
48,FLC_hwinn,Team Falcons,13,2609,8,6,2,15,0.9,174
49,VIT_Gedrox,Team Vitality,13,2194,9,2,2,15,0.9,146
50,CR_Gyuyeon,CR,12,2835,15,6,2,15,0.8,189
51,EA_Lericz,EA,12,2693,11,4,2,15,0.8,180
52,TE_TanVuu,TE,11,3486,15,7,5,15,0.7,232
53,EA_Pathompong,EA,11,2766,7,11,2,15,0.7,184
54,DNS_Rex,DN SOOPers,11,2730,11,9,4,15,0.7,182
55,4AM_HSmm,4AM,11,2692,13,6,5,15,0.7,179
56,FS_Thanad0l,Full Sense,11,2615,10,9,3,15,0.7,174
57,CR_Glaz,CR,11,2342,13,10,2,15,0.7,156
58,VIT_QWZYYY,Team Vitality,11,2288,15,2,3,15,0.7,153
59,TE_Hoangf,TE,10,2427,17,10,2,15,0.7,162
60,T1_Heather,T1,10,1756,13,5,1,10,1,176
61,S2G_CCINEXT,S2G,10,1717,10,4,1,10,1,172
62,FLC_Shrimzy,Team Falcons,9,3253,12,15,5,15,0.6,217
63,VP_Beami,Virtus.pro,9,966,8,4,6,5,1.8,193
64,AL_Destroyy,Anyone's Legend,8,1918,10,10,3,15,0.5,128
65,GEN_seoul,GEN,8,1172,7,1,1,5,1.6,234
66,FCE_StannnL,FCE,7,2770,12,11,1,20,0.3,139
67,T1_Type,T1,7,1642,8,6,1,10,0.7,164
68,JDG_Dec12th,JD Gaming,7,1305,6,1,1,10,0.7,131
69,TE_DuCkHjeUz,TE,6,2234,11,8,2,15,0.4,149
70,VP_NIXZYEE,Virtus.pro,6,2041,9,2,2,5,1.2,408
71,S2G_Shilla,S2G,6,1760,7,6,1,10,0.6,176
