순위,팀,선수1,선수2,선수3,선수4,선수5
1,T1,T1_EEND,T1_Heather,T1_Rain1ng,T1_Type
2,4AM,4AM_HSmm,4AM_Shen,4AM_SpaceMan1010,4AM_WINDah
3,Made in Thailand,MiTH_Baren,MiTH_Jacob,MiTH_KISS,MiTH_Scappy
4,TL,TL_CowBoi,TL_PurdyKurty,TL_aLOW,TL_luke12
5,Team Falcons,FLC_Gustav,FLC_Kickstart,FLC_Shrimzy,FLC_TGLTN
6,NAVI,NAVI_Feyerist,NAVI_Hakatory,NAVI_boost1k-,NAVI_spyrro
7,Twisted Minds,TWIS_BatulinS,TWIS_Lu,TWIS_Perfect1ks,TWIS_xmpl
8,Anyone's Legend,AL_Delwyn,AL_Destroyy,AL_Himass,AL_Sololzy
9,GEN,GEN_BeaN,GEN_Salute,GEN_diyy,GEN_seoul
10,CR,CR_Glaz,CR_Gyuyeon,CR_Inonix,CR_Pio
11,FCE,FCE_StannnL,FCE_Tanbinh,FCE_YUDIRT,FCE_Zest
12,GAM X TE,GTE_Clories,GTE_DuCkHjeUz,GTE_JUND,GTE_TanVuu
13,DN SOOPers,DNS_DIEL,DNS_Gyumin,DNS_Heaven,DNS_Rex
14,FUR,FUR_Dr4FTk1NG,FUR_bielmtcalmo,FUR_possa,FUR_zkrakeN
15,Full Sense,FS_Belmoth,FS_Flash,FS_Thanad0l,FS_TiGGER
16,17 Gaming,17_Akuma,17_Lilghost,17_WenBo,17_xwudd
17,PERO,PeRo_Aixleft,PeRo_Cui71,PeRo_MMing,PeRo_i26v6
18,Virtus.pro,VP_Beami,VP_Lukarux,VP_NIXZYEE,VP_curexi
19,S2G,S2G_BARON,S2G_LAHZA,S2G_Quetpa,S2G_Shilla
20,CTG,CTG_MMAO,CTG_SuiX1ngKzK,CTG_XcDh,CTG_Xcircle
21,Team Vitality,VIT_Gedrox,VIT_Lev4nte,VIT_QWZYYY,VIT_hallomybad
22,EA,EA_Lericz,EA_Nourinz,EA_OHPONDZ,EA_Pathompong
23,T5,T5_DimasTy,T5_Flukky,T5_Khawkong,T5_RangerX
24,JD Gaming,JDG_Cold119,JDG_Dec12th,JDG_SuZe,JDG_nanss
