순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬
1,NAVI,20,55,106,161,2,21642,5.3
2,4AM,20,60,81,141,1,15433,4
3,17 Gaming,15,58,83,141,4,12746,5.5
4,Anyone's Legend,15,48,90,138,2,14041,6
5,Virtus.pro,15,48,72,120,1,17347,4.8
6,MiTH,20,30,68,98,0,15643,3.4
7,Twisted Minds,15,38,55,93,1,12978,3.7
8,TL,15,38,52,90,2,10765,3.5
9,DN SOOPers,15,27,62,89,1,10978,4.1
10,Full Sense,15,26,63,89,1,11905,4.2
11,JD Gaming,15,24,63,87,0,13581,4.2
12,T1,15,31,53,84,1,10188,3.5
13,EA,15,30,53,83,2,11873,3.5
14,PERO,15,24,49,73,0,10138,3.3
15,FUR,15,22,31,53,0,7971,2.1
16,S2G,15,20,29,49,1,5878,1.9
17,GAM X TE,10,16,32,48,0,6576,3.2
18,Team Falcons,10,11,29,40,0,7386,2.9
19,FCE,10,14,22,36,1,4768,2.2
20,GEN,10,5,23,28,0,6287,2.3
21,CR,10,4,23,27,0,4160,2.3
22,CTG,5,8,15,23,0,3082,3
23,Team Vitality,5,3,15,18,0,3437,3
24,T5,5,0,12,12,0,2090,2.4

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,17 Gaming
2,Anyone's Legend
3,Virtus.pro
4,Natus Vincere
