순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜,평균 생존시간
1,UKR_Hakatory,UKR,45,9748,46,27,11,25,1.8,390,20:28
2,UKR_Feyerist,UKR,41,5433,34,22,11,25,1.6,217,20:50
3,UKR_DIFX,UKR,39,8457,37,18,10,25,1.6,338,20:09
4,UKR_boost1k-,UKR,39,7818,33,18,12,25,1.6,313,20:31
5,ARG_Capitan,ARG,39,6460,32,15,11,25,1.6,258,18:08
6,NEU_Lev4nte,NEU,39,6144,30,12,8,25,1.6,246,18:17
7,DEN_Beami,DEN,37,7285,38,16,13,25,1.5,291,20:08
8,DEN_Gustav,DEN,36,6623,33,13,6,25,1.4,265,19:33
9,ARG_PIPAA,ARG,36,5226,31,12,7,25,1.4,209,19:21
10,BRA_sparkingg,BRA,34,4503,29,20,7,15,2.3,300,21:09
11,TUR_Shilla,TUR,33,6686,30,12,8,25,1.3,267,18:35
12,DEN_Ketter,DEN,30,4476,28,17,8,25,1.2,179,20:02
13,TUR_Metebey,TUR,28,5854,26,18,6,25,1.1,234,18:40
14,PHI_alec,PHI,28,4939,23,7,6,25,1.1,198,17:10
15,NEU_BatulinS,NEU,27,3159,20,13,9,25,1.1,126,19:46
16,GBR_vard,GBR,26,5812,31,14,9,25,1,232,18:27
17,GBR_TeaBone,GBR,26,4413,24,8,2,25,1,177,17:40
18,FIN_S4TTA,FIN,25,4567,23,10,6,25,1,183,19:35
19,ARG_Dr4ftk1NG,ARG,24,5272,27,16,2,20,1.2,264,19:17
20,GBR_Fexx,GBR,23,6630,23,18,3,25,0.9,265,17:35
21,TUR_CodeMarco,TUR,23,4693,29,20,7,25,0.9,188,17:18
22,CHN_xwudd,CHN,23,4190,25,9,6,15,1.5,279,21:59
23,USA_Kickstart,USA,23,4024,26,8,6,15,1.5,268,20:54
24,NEU_Lu,NEU,23,3538,18,12,1,25,0.9,142,20:45
25,NEU_ADOUZ1E,NEU,22,5603,25,19,2,25,0.9,224,19:52
26,FIN_SkaV,FIN,22,4298,20,14,3,25,0.9,172,18:26
27,VIE_TanVuu,VIE,21,3224,19,7,3,15,1.4,215,19:25
28,PHI_Eyaaa,PHI,21,3044,18,10,6,25,0.8,122,15:18
29,PHI_CeeJay18,PHI,20,4789,28,13,4,25,0.8,192,17:27
30,GBR_mykLe,GBR,20,4335,21,15,3,25,0.8,173,17:13
31,BRA_bielmtcalmo,BRA,20,4256,19,15,5,15,1.3,284,19:59
32,ARG_emikxz,ARG,19,3845,14,16,4,25,0.8,154,19:23
33,KOR_Heaven,KOR,19,3308,19,9,6,15,1.3,221,22:49
34,VIE_Himass,VIE,19,3051,20,9,8,15,1.3,203,20:55
35,FIN_curexi,FIN,18,4785,24,11,4,25,0.7,191,19:14
36,PHI_AljnBOTz,PHI,18,4217,17,14,2,25,0.7,169,17:17
37,BRA_Tny7,BRA,18,3182,15,15,2,15,1.2,212,20:34
38,KOR_Heather,KOR,17,3410,19,10,1,15,1.1,227,21:49
39,KOR_Gyumin,KOR,17,3354,15,8,7,15,1.1,224,23:00
40,CHN_SpaceMan,CHN,17,2541,11,8,6,15,1.1,169,21:26
41,THA_TiGGER,THA,17,2489,15,6,2,15,1.1,166,21:16
42,THA_Scappy,THA,16,2860,10,7,1,15,1.1,191,20:39
43,INA_Setsunaa,INA,16,2697,16,3,6,15,1.1,180,15:58
44,DEN_Mikzenn,DEN,15,3899,15,13,6,25,0.6,156,19:57
45,GER_PaiinZ,GER,15,2746,21,8,2,15,1,183,20:18
46,USA_PurdyKurty,USA,15,2213,14,12,1,15,1,148,21:14
47,INA_tRycKK,INA,14,2455,11,7,2,15,0.9,164,17:24
48,GER_Justus,GER,14,1951,10,5,3,15,0.9,130,16:56
49,BRA_zkrakeN,BRA,13,3088,16,9,4,15,0.9,206,21:00
50,GER_ares,GER,13,2274,8,8,0,15,0.9,152,18:06
51,TUR_Celtik,TUR,12,3639,10,13,4,25,0.5,146,17:37
52,USA_Shrimzy,USA,12,2425,11,13,2,15,0.8,162,18:53
53,THA_KISS,THA,11,3419,17,11,5,15,0.7,228,21:37
54,USA_CowBoi,USA,11,2386,9,11,1,15,0.7,159,19:31
55,CHN_Lilghost,CHN,11,2304,10,7,3,15,0.7,154,18:01
56,AUS_TGLTN,AUS,11,2238,9,8,2,10,1.1,224,18:37
57,KOR_Seongjang,KOR,10,2716,9,6,3,15,0.7,181,21:59
58,AUS_Fludd,AUS,10,2248,7,3,6,10,1,225,18:21
59,ARG_Dr4FTk1NG,ARG,10,1966,10,2,4,5,2,393,22:01
60,THA_Belmoth,THA,9,2782,17,6,3,15,0.6,185,20:14
61,VIE_Sololzy,VIE,9,1886,10,5,3,15,0.6,126,16:40
62,AUS_luke12,AUS,9,1497,11,6,3,10,0.9,150,17:36
63,FIN_iExE,FIN,8,2759,12,17,0,25,0.3,110,18:10
64,MAS_Shen,MAS,8,1802,11,3,2,10,0.8,180,19:43
65,INA_Jekzy,INA,8,1622,6,6,1,15,0.5,108,16:32
