순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬,조정 비고
1,UKR,25,72,164,236,5,31456,6.6,
2,DEN,25,61,118,179,3,22283,4.7,
3,ARG,25,50,128,178,1,22769,5.1,
4,NEU,25,54,111,165,1,18444,4.4,
5,TUR,25,63,96,159,2,20872,3.8,
6,GBR,25,36,95,131,1,21190,3.8,
7,BRA,15,39,85,124,1,15029,5.7,
8,FIN,25,47,73,120,2,16409,2.9,
9,KOR,15,56,63,119,3,12788,4.2,
10,PHI,25,25,87,112,0,16989,3.5,
11,CHN,15,46,57,103,2,11740,3.8,
12,THA,15,43,53,96,0,11550,3.5,
13,VIE,15,39,55,94,3,9854,3.7,
14,USA,15,31,61,92,0,11048,4.1,
15,GER,15,34,47,81,0,8948,3.1,
16,INA,15,4,42,46,0,8344,2.8,
17,AUS,10,6,36,42,0,7643,3.6,
18,MAS,10,25,16,41,0,4777,1.6,
19,KAZ,10,19,20,39,0,6215,2,
20,TPE,10,10,25,35,0,4609,2.5,
21,NOR,10,18,16,34,0,5666,1.6,
22,JPN,10,11,19,30,1,4100,1.9,
23,IND,10,7,15,22,0,3989,1.5,
24,CAN,10,4,16,20,0,2756,1.6,

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,Brazil
2,South Korea
3,Neutral Team
4,China
