스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,1,TL,12,2192,10,22
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,3,GAM,9,1465,5,14
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,4,Virtus.pro,9,1638,4,13
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,2,Made in Thailand,6,1271,6,12
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,5,Shadow Esports,2,1431,3,5
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,12,PeRo,5,251,0,5
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,6,Geekay Esports,2,226,2,4
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,8,Full Sense,3,468,1,4
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,13,DN SOOPers,3,883,0,3
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,7,TYL,1,206,1,2
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,9,NMSS,2,393,0,2
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,10,4AM,2,635,0,2
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,15,Twisted Minds,2,326,0,2
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,11,Team Vitality,0,433,0,0
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,14,AGAL,0,198,0,0
Group Stage,1,26. 7. 21. 오후 8:05,ERANGEL,16,R8 Esports,0,499,0,0
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,1,Made in Thailand,10,1750,10,20
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,2,Twisted Minds,12,1936,6,18
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,3,TYL,5,1217,5,10
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,4,Team Vitality,5,1178,4,9
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,5,Full Sense,5,1549,3,8
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,12,4AM,7,1020,0,7
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,7,PeRo,4,623,1,5
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,6,Shadow Esports,2,531,2,4
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,10,NMSS,4,1164,0,4
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,14,AGAL,3,400,0,3
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,9,TL,2,490,0,2
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,8,Geekay Esports,0,191,1,1
Group Stage,2,26. 7. 21. 오후 8:54,TAEGO,13,DN SOOPers,1,277,0,1
