순위,팀,선수1,선수2,선수3,선수4,선수5
1,Virtus.pro,VP_Beami,VP_Lukarux,VP_NIXZYEE,VP_curexi
2,NAVI,NAVI_Feyerist,NAVI_Hakatory,NAVI_boost1k-,NAVI_spyrro
3,MiTH,MiTH_Baren,MiTH_Jacob,MiTH_KISS,MiTH_Scappy
4,Team Falcons,FLC_Gustav,FLC_Kickstart,FLC_Shrimzy,FLC_TGLTN
5,T1,T1_EEND,T1_Heather,T1_Rain1ng,T1_Type
6,VC,VC_SimonT,VC_Taikonn,VC_YmCud,VC_pau
7,Twisted Minds,TWIS_BatulinS,TWIS_Lu,TWIS_Perfect1ks,TWIS_TheTab,TWIS_xmpl
8,Team Vitality,VIT_Gedrox,VIT_Lev4nte,VIT_QWZYYY,VIT_hallomybad
9,Geekay Esports,GK_AKaN,GK_EJ01,GK_Parkpro,GK_Seongjang
10,17 Gaming,17_Lilghost,17_WenBo,17_tiantian,17_xwudd
11,GEN,GEN_BeaN,GEN_Salute,GEN_diyy,GEN_seoul
12,TL,TL_CowBoi,TL_PurdyKurty,TL_alow,TL_luke12
13,Full Sense,FS_Belmoth,FS_Flash,FS_Thanad0l,FS_TiGGER
14,GAM,GAM_Clories,GAM_DuCkHjeUz,GAM_HoangF,GAM_TanVuu
15,AGAL,AGAL_Delwyn,AGAL_Destroyy,AGAL_Himass,AGAL_Sololzy
16,Shadow Esports,SE_Hanzyy,SE_Jekzy,SE_Kamalz,SE_Setsunaa
17,JD Gaming,JDG_Cold119,JDG_Dec12th,JDG_SuZe,JDG_nanss
18,DN SOOPers,DNS_DIEL,DNS_Gyumin,DNS_Heaven,DNS_Rex
19,R8 Esports,R8_1MBOT,R8_AJRE,R8_Tedeeyy,R8_empt
20,SP,SP_Earthzapalui,SP_Jdaii,SP_ThanawatTH,SP_Thunderz
21,NMSS,NMSS_DIFX,NMSS_Mellman,NMSS_SoseD,NMSS_Staed
22,TYL,TYL_1ee,TYL_Haoskr,TYL_KKong,TYL_OneDragon
23,PERO,PeRo_04NB,PeRo_Cui71,PeRo_MMing,PeRo_i26v6
24,4AM,4AM_HSmm,4AM_Shen,4AM_SpaceMan1010,4AM_WINDah
