순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬,조정 비고
1,Virtus.pro,30,83,161,244,4,31292,5.4,
2,NAVI,30,97,120,217,6,26470,4,
3,Made in Thailand,30,84,130,214,4,28313,4.3,
4,Team Falcons,30,68,139,207,1,27733,4.6,
5,T1,30,58,147,205,2,26477,4.9,
6,VC,30,63,135,198,2,18917,4.5,
7,Twisted Minds,30,68,125,193,2,26932,4.2,
8,Team Vitality,30,81,107,188,2,22418,3.6,
9,Geekay Esports,30,67,120,187,3,21106,4,
10,17 Gaming,30,62,108,170,1,23392,3.6,
11,GEN,30,50,112,162,0,26377,3.7,
12,TL,30,46,111,157,2,20442,3.7,
13,Full Sense,30,61,89,150,2,18939,3,
14,GAM,30,49,97,146,0,21263,3.2,
15,AGAL,30,41,91,132,1,20163,3,
16,Shadow Esports,30,46,73,119,2,16344,2.4,
17,JD Gaming,12,14,40,54,1,7696,3.3,
18,DN SOOPers,12,17,36,53,0,9315,3,
19,R8 Esports,12,22,30,52,1,6921,2.5,
20,SP,12,16,36,52,0,9268,3,
21,NMSS,12,15,34,49,0,8224,2.8,
22,TYL,12,22,21,43,0,5537,1.8,
23,PERO,12,11,29,40,0,5383,2.4,
24,4AM,12,11,25,36,0,6193,2.1,

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,Virtus.pro
2,The Vicious
3,Natus Vincere
4,Team Falcons
