스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,1,So,13,1708,10,23
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,4,SB,9,1040,4,13
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,2,HNB,5,820,6,11
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,6,PDE,9,1904,2,11
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,3,DD,2,1353,5,7
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,7,SXG,5,1301,1,6
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,9,SGA,4,1213,0,4
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,14,MHG,4,603,0,4
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,5,FX,0,330,3,3
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,8,EOS,2,743,1,3
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,10,Re,2,445,0,2
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,11,SRI,2,382,0,2
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,15,WKD,2,388,0,2
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,16,Ark,1,278,0,1
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,12,Geekay Esports,0,491,0,0
Cup Week 1,1,26. 2. 14. AM 9:50,ERANGEL,13,ZEN,0,257,0,0
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,1,PDE,19,2681,10,29
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,3,DD,10,1539,5,15
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,2,Geekay Esports,6,1039,6,12
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,8,SB,10,1316,1,11
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,4,EOS,5,1954,4,9
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,5,So,1,441,3,4
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,12,Ark,4,686,0,4
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,15,WKD,4,749,0,4
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,6,HNB,1,170,2,3
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,7,SRI,2,825,1,3
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,14,SXG,2,350,0,2
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,9,ZEN,1,578,0,1
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,10,Re,1,144,0,1
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,11,FX,0,65,0,0
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,13,MHG,0,84,0,0
Cup Week 1,2,26. 2. 14. AM 10:40,ERANGEL,16,SGA,0,301,0,0
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,1,SGA,11,1410,10,21
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,2,SB,7,1600,6,13
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,5,So,8,1153,3,11
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,7,Geekay Esports,9,1351,1,10
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,4,MHG,5,1092,4,9
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,3,ZEN,3,1023,5,8
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,6,Ark,6,848,2,8
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,8,SXG,3,477,1,4
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,14,EOS,3,688,0,3
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,9,PDE,2,493,0,2
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,11,WKD,2,676,0,2
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,10,DD,1,600,0,1
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,12,Re,1,100,0,1
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,13,SRI,1,140,0,1
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,16,FX,1,379,0,1
Cup Week 1,3,26. 2. 14. AM 11:20,MIRAMAR,15,HNB,0,173,0,0
Cup Week 1,4,26. 2. 14. AM 11:55,TAEGO,1,PDE,17,2074,10,27
Cup Week 1,4,26. 2. 14. AM 11:55,TAEGO,2,Geekay Esports,9,1259,6,15
