순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬,조정 비고
1,T1,60,215,334,549,11,62249,5.6,
2,Geekay Esports,65,197,324,521,9,54969,5,
3,DN SOOPers,60,180,266,446,8,49386,4.4,
4,EOS,70,137,306,443,4,56268,4.4,
5,DN,60,147,294,441,6,51304,4.9,
6,GEN,60,140,290,430,5,58879,4.8,
7,SB,65,143,280,423,3,49983,4.3,
8,ART,60,114,251,365,5,52478,4.2,
9,FN,60,113,228,341,2,37599,3.8,
10,VEX,60,114,212,326,3,43672,3.5,
11,PHE,60,122,202,324,1,39376,3.4,
12,DD,60,103,221,324,3,42484,3.7,
13,SXA,55,112,210,322,2,40023,3.8,
14,AZLA,50,108,199,307,3,39397,4,
15,SGA,50,92,183,275,2,34533,3.7,
16,XXG,50,110,151,261,6,24769,3,
17,OS,50,86,175,261,2,36630,3.5,
18,SEN,50,77,135,212,3,30009,2.7,
19,YP,40,84,117,201,3,21259,2.9,
20,CR,40,63,130,193,1,27810,3.3,
21,MHG,40,42,120,162,1,25987,3,
22,DGP,40,38,116,154,0,22344,2.9,
23,TCN,15,55,88,143,2,18594,5.9,
24,ARK,20,46,95,141,1,16168,4.8,
25,ARK,15,42,83,125,2,14230,5.5,
26,SPF,30,38,74,112,0,17724,2.5,
27,ER,30,33,69,102,1,15285,2.3,
28,XW,15,40,58,98,2,8894,3.9,
29,PDE,5,23,60,83,2,9026,12,
30,BKL,10,28,51,79,1,8596,5.1,
31,XGZ,10,27,48,75,1,9504,4.8,
32,SRI,15,33,41,74,1,9080,2.7,
33,ZEN,15,31,41,72,0,9271,2.7,
34,KX,10,23,46,69,0,9656,4.6,
35,SXG,15,14,52,66,0,9765,3.5,
36,SO,5,21,23,44,1,3815,4.6,
37,EZ,5,12,31,43,1,4798,6.2,
38,1004,5,10,31,41,1,4199,6.2,
39,WG,5,20,19,39,1,4072,3.8,
40,SRY,10,18,19,37,0,4701,1.9,
41,EDV,5,17,20,37,0,4119,4,
42,FLS,5,12,23,35,0,3919,4.6,
43,KRT,5,7,27,34,0,4914,5.4,
44,HNB,10,8,23,31,0,4656,2.3,
45,MZV,5,6,22,28,0,3897,4.4,
46,PUSH,10,3,25,28,0,3824,2.5,
47,V7,5,8,19,27,0,3308,3.8,
48,PNKO,5,9,17,26,0,4263,3.4,
49,PMT,5,11,14,25,0,3280,2.8,
50,HMS,5,8,17,25,0,3185,3.4,
51,TSC,5,6,17,23,0,4153,3.4,
52,SZ,5,3,19,22,0,3102,3.8,
53,570,5,3,19,22,0,2884,3.8,
54,4000,5,12,8,20,0,1976,1.6,
55,FX,10,6,14,20,0,3278,1.4,
56,02,5,11,6,17,0,1624,1.2,
57,WHO,5,2,15,17,0,2698,3,
58,WN,5,1,15,16,0,2659,3,
59,CBL,5,5,10,15,0,1756,2,
60,CS,5,5,10,15,0,2608,2,
61,DV,5,2,11,13,0,3110,2.2,
62,RE,5,1,11,12,0,2259,2.2,
63,WKD,5,0,12,12,0,2533,2.4,
64,GMI,5,0,10,10,0,1449,2,
65,HW,5,1,7,8,0,2247,1.4,
66,HI,5,0,7,7,0,1618,1.4,
67,7L,5,0,7,7,0,1820,1.4,
68,9GY,5,1,3,4,0,1921,0.6,
69,KMR,5,1,1,2,0,889,0.2,

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,DN SOOPers
2,Geekay Esports
3,T1
4,Gen.G Esports

MVP,Seongjang

비고,"Finals(5/8~5/10, 15매치)가 PUBG API 에 등록되지 않아 매치 데이터가 없습니다. 순위는 Liquipedia 확인값입니다."
