순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
1,SGA_Hane,SGA,39,5825,41,15,13,25,1.6,233
2,TCN_2heart,TCN,35,5272,29,12,10,15,2.3,351
3,XF_570yT,XF,34,6604,34,19,7,20,1.7,330
4,XF_Sunday,XF,32,5121,28,16,10,20,1.6,256
5,KX_PokJu,KX,31,4525,24,12,6,20,1.6,226
6,Qx_youth,QX,27,5112,22,13,3,20,1.4,256
7,Qx_Glance,QX,26,3983,25,10,8,20,1.3,199
8,Qx_LOV3,QX,25,4658,23,11,5,20,1.3,233
9,AAA_RimQ,AAA,23,3355,19,7,7,15,1.5,224
10,KX_GuJiBBi,KX,22,5370,30,17,5,20,1.1,269
11,TAG_snowfake,TAG,21,3431,20,8,4,15,1.4,229
12,GGWP_sony,GGWP,21,3045,17,2,7,10,2.1,305
13,SGA_Xantast,SGA,20,3591,17,13,4,25,0.8,144
14,Qx_Hyuk,QX,19,3842,21,16,4,20,0.9,192
15,XF_Arte,XF,19,3681,14,13,7,20,0.9,184
16,C5_Malik,C5,19,2602,14,6,4,5,3.8,520
17,SGA_inforyou,SGA,17,4303,18,11,8,15,1.1,287
18,TCN_Haninwoo,TCN,17,3970,16,15,6,15,1.1,265
19,MHG_CHANAHRI,MHG,17,2913,15,8,1,15,1.1,194
20,SGA_innate,SGA,17,2665,16,10,6,20,0.8,133
21,TAG_spirit,TAG,17,2285,12,2,3,15,1.1,152
22,TCN_2cut,TCN,16,2869,11,8,3,15,1.1,191
23,EOS_SINGAM,EOS,16,1819,12,6,1,5,3.2,364
24,XGZ_TIGHT,XGZ,15,2650,18,5,3,20,0.8,133
25,KX_List,KX,15,2479,11,8,5,20,0.8,124
26,PNKO_LongDuo,PNKO,15,2332,14,3,6,10,1.5,233
27,XGZ_Select,XGZ,15,2056,15,4,4,20,0.8,103
28,XF_ChoiHyunseo,XF,15,1930,14,9,4,10,1.5,193
29,ISK_ParkChaN,ISK,15,1801,13,6,5,5,3,360
30,XGZ_PURGE,XGZ,14,2352,12,4,2,20,0.7,118
31,MM_Freaky,MM,14,1719,12,3,3,5,2.8,344
32,GGWP_Geunwon,GGWP,13,3065,8,12,3,10,1.3,307
