순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬
1,SGA,25,58,110,168,2,18726,4.4
2,QX,20,57,97,154,1,17595,4.8
3,XF,20,46,108,154,1,19632,5.4
4,TCN,15,50,82,132,3,14500,5.5
5,C5,10,49,64,113,3,11308,6.4
6,KX,20,25,83,108,0,15183,4.2
7,XGZ,20,37,58,95,1,10188,2.9
8,TAG,15,27,61,88,1,10096,4.1
9,GGWP,10,22,53,75,1,9791,5.3
10,AAA,15,13,61,74,0,9302,4.1
11,EOS,5,28,45,73,1,6559,9
12,PNKO,10,30,42,72,1,8963,4.2
13,MHG,15,27,41,68,1,7585,2.7
14,SB,5,26,40,66,1,8556,8
15,SXA,5,35,28,63,2,4243,5.6
16,MIR,10,23,37,60,0,6111,3.7
17,MM,5,20,39,59,1,4818,7.8
18,SGZ,5,18,40,58,1,5642,8
19,ISK,5,20,36,56,1,6131,7.2
20,ZN,10,17,35,52,0,7696,3.5
21,FL,10,14,38,52,0,7123,3.8
22,DK,5,12,23,35,0,3611,4.6
23,MM,5,12,22,34,0,3586,4.4
24,KYA,5,10,21,31,0,3633,4.2
25,YCZ,5,8,20,28,0,3511,4
26,HI,5,11,16,27,1,2402,3.2
27,KBR,5,10,17,27,0,3041,3.4
28,MAY,10,2,25,27,0,3920,2.5
29,HES,5,11,14,25,1,3283,2.8
30,VV,5,12,11,23,1,2099,2.2
31,XW,5,5,17,22,0,3412,3.4
32,JOA,5,7,14,21,0,2303,2.8
33,SSH,5,4,15,19,0,2562,3
34,NG,5,9,9,18,0,1726,1.8
35,SRI,5,5,13,18,0,3147,2.6
36,XXX,5,4,13,17,0,2978,2.6
37,BKL,5,5,11,16,0,2865,2.2
38,WG,5,2,14,16,0,2223,2.8
39,KCR,10,2,14,16,0,2783,1.4
40,GA,5,6,9,15,0,1333,1.8
41,ALS,5,2,12,14,0,2305,2.4
42,GMI,5,6,7,13,0,1797,1.4
43,SO,5,4,8,12,0,2357,1.6
44,SLT,5,3,9,12,0,1926,1.8
45,OM,5,1,10,11,0,1635,2
46,EV,5,3,6,9,0,1397,1.2
47,NS,5,0,6,6,0,1791,1.2
48,DPS,5,2,3,5,0,1505,0.6
